$Price/Unit,% 1-Bed,% 2-Bed,% 3-Bed,% Studios,Affordable Type,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Ask Rent/SF,Ask Rent/Unit,Average Weighted Rent,Avg Concessions %,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Avg Unit Size,Building Address,Building Class,Building Location,Building Name,Building Operating Expenses,Building Park,Building Status,Building Tax Expenses,Cap Rate,Ceiling Height Range,City,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Construction Material,Core Factor,County Name,Cross Street,Days On Market,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Effective Rent/SF,Effective Rent/Unit,Energy Star,Exp Year,Features,For Sale Price,For Sale Status,Gas,Heating,LEED Certified,Land Area (AC),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Market Name,Market Segment,Max Building Contiguous Space,Max Floor Contiguous Space,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Stories,Number Of Studios,Number Of Units,Office Space,One Bedroom Mix,One Bedroom Rent High,One Bedroom Rent Low,Ops Expense,Ops Expense Per SF,Other Bedroom Rent High,Other Bedroom Rent Low,Other Mix,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parking Ratio,Parking Spaces/Unit,Percent Leased,Power,Primary Agent Name,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Rail Lines,Rent Type,Rentable Building Area,Secondary Type,Serial,Services,Sewer,Smallest Available Space,Sprinklers,Star Rating,State,Style,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Submarket Name,Tax Year,Taxes Per SF,Taxes Total,Three Bedroom Mix,Three Bedroom Rent High,Three Bedroom Rent Low,Total Available Space (SF),Total Buildings,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,Two Bedroom Mix,Two Bedroom Rent High,Two Bedroom Rent Low,Typical Floor Size,Vacancy %,Water,Year Built,Year Renovated,Zip,Zoning
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1832 Broadway St,,,,2013 Tax @ $1.28/sf,,Existing,2013 Tax @ $1.28/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.77,,,38.1326164,,,,,,,-122.2520902,North Bay/Santa Rosa,,,,,,,,0,,,4,1,,,,,,,,,,,,121 Holcomb Ln,"American Canyon, CA  94503",,Gibb Gale A,,0052-090-050,0052-090-050,2.41,,100,,,,,,,,7794814,General Retail,,,1657,Auto Repair,BXA9XA,,,,,2 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,1.28,2113.98,,,,,,,,,,,0,,,,1883,,,1925,,94589,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,917 Marin St,,,,2008 Tax @ $1.37/sf,,Existing,2008 Tax @ $1.37/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.2984,,,38.104662,,,,,,,-122.256781,North Bay/Santa Rosa,,,,,,,,0,,,2,1,,,,,,,,,,,,200 Rollingwood Dr,"Vallejo, CA  94591",,Skyview Memorial Lawn,7076477026,0056-132-060,0056-132-060,,,100,,,,,,,,6004750,General Retail,,,4991,Freestanding,A1EF1A,,,,,3 Star,CA,,,,,Solano County Ret,Vallejo Ret,2008,1.37,6830.88,,,,,,,,,,,0,,,,4991,,,1926,2009,94590,
,,,,,,,,,,,,9.84,,-,-,9.84,-,-,-,,921 Marin St,,,,2011 Tax @ $1.20/sf,,Existing,2011 Tax @ $1.20/sf,,,Vallejo,,,,,Masonry,,Solano,,,,1100,Triple Net,1100,,,,,,,,N,,,,0.2984,,,38.1047727,200 Rollingwood Dr,"Vallejo, CA  945916731",Robert Litwin,,Evergreen Cemetery Assoc,7075523400,-122.2567865,North Bay/Santa Rosa,,1100,1100,,,,,0,,,,1,,,,,,,,,,,,6450 Camden St,"Oakland, CA  94605",,Evergreen Cemetery,5106321602,0056-132-060,0056-132-060,,,81.67,,Robert Litwin,,,,,,9148364,General Retail,,,6000,Storefront,CSR4TA,Direct - Triple Net,,1100,,2 Star,CA,,0,,0,Solano County Ret,Vallejo Ret,2011,1.2,7199.28,,,,1100,,,1100,0,1100,0,1100,,,,6000,,,1926,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,410 Georgia St,,,,2008 Tax @ $0.94/sf,,Existing,2008 Tax @ $0.94/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.0746,,,38.101427,,,,,,,-122.256153,North Bay/Santa Rosa,,,,,,,,0,,,2,1,,,,,,,,,,,,614 VERMONT ST AT 18TH St,"SAN FRANCISCO, CA  94107",,Epstein Lewis C,,0056-193-160,0056-193-160,,,100,,,,,,,,6018787,General Retail,,,2483,Storefront,A9AQ1A,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2008,0.94,2342.64,,,,,,,,,,,0,,,,2483,,,1927,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,835-849 W Texas St,,,,2013 Tax @ $1.04/sf,,Existing,2013 Tax @ $1.04/sf,,,Fairfield,,,,,Reinforced Concrete,,Solano,,154,,,,,,,,,,,,Y,,,,0.091,,,38.248958,,,,,,,-122.044284,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,3109 San Antonio Ct,"Fairfield, CA  94533",,Mayhew D Wayne,,0030-243-020,0030-243-020,,,100,,,,,,,,7910318,General Retail,,,2974,Storefront,B3TI3A,,,,,1 Star,CA,,,,,Solano County Ret,Fairfield Ret,2013,1.04,3105.06,,,,,,,,,,,0,,,,3379,,,1928,,94533,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,418 Georgia St,,,,2013 Tax @ $0.52/sf,,Existing,2013 Tax @ $0.52/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.1492,,,38.101414,1775 Lincoln Ave,"Napa, CA  945594036",,7072248989,Coldwell Banker Commercial Brokers of the Valley,7072248454,-122.255837,North Bay/Santa Rosa,,,,,,,,0,,,2,2,,,,,,,,,,,,1445 Donlon St,"Ventura, CA  93003",,"BWB Properties, LLC",,0056-193-130,0056-193-130,,,100,,,1445 Donlon St,"Ventura, CA  93003",Greg Ellison,"BWB Properties, LLC",,1109409,General Retail,,,6500,Storefront,212146,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,0.52,3388.06,,,,,,,,,,,0,,,,6500,,,1928,,94590,CP
,,,,,,,,,,,,-,,-,-,-,-,-,-,,717-727 Webster St,,,,2009 Tax @ $2.44/sf,,Existing,2009 Tax @ $2.44/sf,,,Fairfield,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.1136,,,38.2496685,,,,,,,-122.0434529,North Bay/Santa Rosa,,,,,,,,0,,,,2,,,,,,,,,,,,1545 N Texas St,"Fairfield, CA  94533",,Shamieh Ray A & Dalia,,0030-184-060,0030-184-060,,,100,,,,,,,,7909394,General Retail,,,4400,Storefront Retail/Residential,B3LU3A,,,,,2 Star,CA,,,,,Solano County Ret,Fairfield Ret,2009,2.44,10720.8,,,,,,,,,,,0,,,,2500,,,1929,,94533,
,,,,,,Pylon Sign,,,,,,-,,-,-,-,-,-,-,,327 Main St,,,,2013 Tax @ $0.75/sf,,Existing,2013 Tax @ $0.75/sf,,,Rio Vista,,,,,Masonry,,Solano,,,,,,,,,,,,Pylon Sign,,N,,,,0.3306,12/27/2002 12:00,"260,000.00",38.157335,327 Main St,"Rio Vista, CA  945711738",Joseph Awender,,Awender Chiropractic,7073741412,-121.693062,North Bay/Santa Rosa,,,,,,,,0,,,20,1,,,,,,,,,,,,,,,,,0049-161-010,0049-161-020,3.57,,100,,Joseph Awender,,,,,,4430188,General Retail,,,5500,Freestanding,AC6BJA,,,,,2 Star,CA,,,,,Solano County Ret,Fairfield Ret,2013,0.75,4121.48,,,,,,,,,,,0,,,,5500,,,1929,,945711738,"CH, Rio Vista"
,,,,,,,,,,,,12,,-,-,12,-,-,-,,1405 Georgia St,,,,"2013 Tax @ $0.46/sf, 2012 Est Tax @ $0.38/sf; 2012 Est Ops @ $0.43/sf",,Existing,"2013 Tax @ $0.46/sf, 2012 Est Tax @ $0.38/sf; 2012 Est Ops @ $0.43/sf",,,Vallejo,,,,,Masonry,,Solano,,,,1500,Modified Gross,1500,,,,,,,,N,,,,0.39,,,38.100688,,,Richard Barker,,Richard D & Kullenia R Barker,7072495827,-122.23938,North Bay/Santa Rosa,,1500,1500,,,,,0,,,4,2,,,,,,,,,,,,4820 2nd St,"Benicia, CA  94510",Sal Aldano,Sal J Aldano,,0059-051-100,0059-051-100,,,85.69,,Richard Barker,,,,,,6080033,General Retail,,,10480,Storefront Retail/Residential,AAT92A,Direct - Modified Gross,,1500,,1 Star,CA,,0,,0,Solano County Ret,Vallejo Ret,2013,0.46,4806.82,,,,1500,,,1500,0,1500,0,1500,,,,5240,,,1929,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,130-132 W E St,,,,2013 Tax @ $5.83/sf,,Existing,2013 Tax @ $5.83/sf,,,Benicia,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.43,9/4/2007 12:00,"1,750,000.00",38.048226,,,,,,,-122.160508,North Bay/Santa Rosa,,,,,,,,0,,,6,1,,,,,,,,,,,,325 W I St,"Benicia, CA  945103026",James Dunlop,James A Dunlop,,0089-174-020,0089-174-020,1.88,,100,,,,,,,,6109846,General Retail,,,3194,Freestanding,AU2G3A,,,,,2 Star,CA,,,,,Solano County Ret,Benicia Ret,2013,5.83,18623.4,,,,,,,,,,,0,,,,3194,,,1929,,94510,
,,,,,,Bus Line,,,,,,-,,-,-,-,-,-,-,,740 Texas St,,,,2014 Tax @ $0.98/sf,,Existing,2014 Tax @ $0.98/sf,,,Fairfield,,,,,Reinforced Concrete,,Solano,,,,,,,,,,,,Bus Line,,N,,,,0.1956,41992.5,,38.2494284,3039 Waring Pl,"Fairfield, CA  94533",John Coyle,,John M Coyle,7074227300,-122.0426415,North Bay/Santa Rosa,,,,,,,,0,,,10,3,,,,,,,,,,,,6501 Liggett Dr,"Oakland, CA  94611",,Glitter Group,,0030-186-060,0030-186-060,,,100,,John Coyle,,,,,,336864,General Retail,,,10571,Storefront Retail/Office,SO0368,,,,,2 Star,CA,,,,,Solano County Ret,Fairfield Ret,2014,0.98,10346.68,,,,,,,,,,,0,,,,3524,,,1930,,945335512,"CDC, Fairfield"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,804 Texas St,,,,2009 Tax @ $5.11/sf,,Existing,2009 Tax @ $5.11/sf,,,Fairfield,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.114,38482.5,875000,38.249447,1545 N Texas St Suite # 304,"Fairfield, CA  945335671",Ray Shamieh,,Shamieh Commercial,7073997750,-122.043453,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,1545 N Texas St Suite # 304,"Fairfield, CA  945335671",Ray Shamieh,Shamieh Commercial,7073997750,0030-184-060,0030-184-060,,,100,,Ray Shamieh,,,,,,83245,General Retail,,,2100,Storefront,SO3858,,,,,2 Star,CA,,,,,Solano County Ret,Fairfield Ret,2009,5.11,10720.8,,,,,,,,,,,0,,,,2100,,,1930,,945335740,"CDC-PI, Fairfield"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,810 W Texas St,,,,2013 Tax @ $0.57/sf,,Existing,2013 Tax @ $0.57/sf,,,Fairfield,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.1722,,,38.249515,,,,,,,-122.0436314,North Bay/Santa Rosa,,,,,,,,0,,,,2,,,,,,,,,,,,1012 Alma Ct,"Suisun City, CA  94585",,Gordon Dale Living Trust,,0030-184-070,0030-184-070,,,100,,,,,,,,7913523,General Retail,,,13389,Storefront,B4JY3A,,,,,1 Star,CA,,,,,Solano County Ret,Fairfield Ret,2013,0.57,7581.36,,,,,,,,,,,0,,,,7607,,,1930,,94533,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,601 Georgia St,,,,2013 Tax @ $1.27/sf,,Existing,2013 Tax @ $1.27/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.0924,,,38.100908,,,,,,,-122.253028,North Bay/Santa Rosa,,,,,,,,0,,,4,2,,,,,,,,,,,,PO BOX 210050,"SAN FRANCISCO, CA  94121",,Poli Bryan & Megumi T,,0056-202-010,0056-202-010,1.18,,100,,,,,,,,5982240,General Retail,,,3383,Storefront Retail/Office,ALX5ZA,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,1.27,4310.68,,,,,,,,,,,0,,,,1691,,,1930,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1235 Georgia St,,,,2013 Tax @ $0.74/sf,,Existing,2013 Tax @ $0.74/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.1492,,,38.1006854,,,,,,,-122.2422134,North Bay/Santa Rosa,,,,,,,,0,,,15,2,,,,,,,,,,,,73 Sealion Pl,"Vallejo, CA  94591",,Santos Melson P,,0059-011-070,0059-011-070,2.08,,100,,,,,,,,6033214,General Retail,,,7197,,AIK31A,,,,,2 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,0.74,5293.04,,,,,,,,,,,0,,,,3598,,,1930,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,800-802 Maine St,,,,2013 Tax @ $0.31/sf,,Existing,2013 Tax @ $0.31/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.0801,,,38.0992139,,,,,,,-122.2481477,North Bay/Santa Rosa,,,,,,,,0,,,8,2,,,,,,,,,,,,2613 Marlow Rd,"Santa Rosa, CA  954032421",,Maine-alameda Trust,,0056-241-170,0056-241-170,1.18,,100,,,,,,,,7699645,General Retail,,,6774,Storefront Retail/Residential,BBTP1A,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,0.31,2100.26,,,,,,,,,,,0,,,,3849,,,1930,,94590,CSS
,,,,,,Pylon Sign,,,,,,-,,-,-,-,-,-,-,,390 Military E,,,,2008 Tax @ $1.53/sf,,Existing,2008 Tax @ $1.53/sf,,,Benicia,,,,,Masonry,,Solano,,,,,,,,,,,,Pylon Sign,,N,,,,0.2411,5/10/2004 12:00,"800,000.00",38.051753,1100 W K St,"Benicia, CA  945102415",Julie Sevier,,Kenneth A & Julie Sevier,7077451834,-122.14928,North Bay/Santa Rosa,,,,,,,,0,,,15,1,,,,,,,,,,,,1100 W K St,"Benicia, CA  945102415",Julie Sevier,Kenneth A & Julie Sevier,7077451834,0088-122-260,0088-122-260,3.75,,100,,Julie Sevier,1100 W K St,"Benicia, CA  945102415",Julie Sevier,Kenneth A & Julie Sevier,7077451834,4562746,General Retail,,,7000,Freestanding,AHBVJA,,,,,2 Star,CA,,,,,Solano County Ret,Benicia Ret,2008,1.53,10709.4,,,,,,,,,,,0,,,,7000,,,1930,2012,945102811,"N/Av, Benicia"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,375 Military East St,,,,2013 Tax @ $1.19/sf,,Existing,2013 Tax @ $1.19/sf,,,Benicia,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.14,,,38.0522176,,,,,,,-122.1492773,North Bay/Santa Rosa,,,,,,,,0,,,2,1,,,,,,,,,,,,1075 Alpine Ct,"Napa, CA  94558",,Kent John & Terry L Trust,,0088-121-120,0088-121-120,1.31,,100,,,,,,,,6102382,General Retail,,,1522,Freestanding,AP8T2A,,,,,1 Star,CA,,,,,Solano County Ret,Benicia Ret,2013,1.19,1812.24,,,,,,,,,,,0,,,,1522,,,1930,,94510,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1608-1614 Sonoma Blvd,,,,2013 Tax @ $1.28/sf,,Existing,2013 Tax @ $1.28/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.0522,12/24/2013 12:00,"277,500.00",38.100515,,,,,,,-122.2547876,North Bay/Santa Rosa,,,,,,,,0,,,4,3,,,,,,,,,,,,212 Saint Francis Blvd,"Daly City, CA  94015",John Lim,John & Theingi W Lim,,0056-196-160,0056-196-160,,,100,,,,,,,,4530723,General Retail,,,5635,Storefront Retail/Residential,AH3QAA,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,1.28,7189.32,,,,,,,,,,,0,,,,2166,,,1930,,94590,MUPD-2
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1717-1725 Sonoma Blvd,,,,2008 Tax @ $0.76/sf,,Existing,2008 Tax @ $0.76/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.149,2/2/1998 12:00,"573,000.00",38.101799,306 Ignacio Valley Cir,"Novato, CA  94949",Gary Gustafson,,Gary Gustafson Consulting,4155161863,-122.2551498,North Bay/Santa Rosa,,,,,,,,0,,,10,2,,,,,,,,,,,,P.O.Box 5427,"Novato, CA  949485427",Ali Mahmoodi,Armsco Inc,4158939176,0056-193-070,0056-193-070,,,100,,Gary Gustafson,,,,,,1586344,General Retail,,,12864,Storefront Retail/Residential,770808,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2008,0.76,9813.12,,,,,,,,,,,0,,,,6432,,,1930,,945906011,"CL, Vallejo"
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1727-1745 Sonoma Blvd,,,,2008 Tax @ $2.40/sf,,Existing,2008 Tax @ $2.40/sf,,,Vallejo,,,,,Wood Frame,,Solano,,,,,,,,,,,,,,N,,,,0.1492,,,38.1017594,4304 Redwood Hwy Suite # 200,"San Rafael, CA  949032103",Jay Murphy,4154543829,HL Commercial Real Estate,4154542030,-122.2549803,North Bay/Santa Rosa,,,,,,,,0,,,5,2,,,,,,,,,,,,PO BOX 751,"LOWER LAKE, CA  95457",,Walnut Hill Estate Ent Llc,,0056-193-070,0056-193-070,1.22,,100,,Jay Murphy,,,,,,5982246,General Retail,,,4088,Storefront Retail/Office,ALX8ZA,,,,,2 Star,CA,,,,,Solano County Ret,Vallejo Ret,2008,2.4,9813.12,,,,,,,,,,,0,,,,2044,,,1930,2012,945906044,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2505 Sonoma Blvd,,,,2008 Tax @ $1.61/sf,,Existing,2008 Tax @ $1.61/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.2984,,,38.109308,,,,,,,-122.254972,North Bay/Santa Rosa,,,,,,,,0,,,5,1,,,,,,,,,,,,528 N Regatta Dr,"Vallejo, CA  94591",,Chen Ding Chuan,,0056-073-090,0056-073-090,3.65,,100,,,,,,,,6004804,General Retail,,,1368,Freestanding,A1FQ1A,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2008,1.61,2201.76,,,,,,,,,,,0,,,,1367,,,1930,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2509 Sonoma Blvd,,,,2008 Tax @ $0.49/sf,,Existing,2008 Tax @ $0.49/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.2984,,,38.109415,,,,,,,-122.255059,North Bay/Santa Rosa,,,,,,,,0,,,4,1,,,,,,,,,,,,528 N Regatta Dr,"Vallejo, CA  94591",,Chen Ding Chuan,,0056-073-090,0056-073-090,,,100,,,,,,,,6004726,General Retail,,,4480,Freestanding,A1DY1A,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2008,0.49,2201.76,,,,,,,,,,,0,,,,4480,,,1930,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,38-40 Tennessee St,,,,2013 Tax @ $0.77/sf,,Existing,2013 Tax @ $0.77/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.1561,,,38.1103306,,,,,,,-122.261883,North Bay/Santa Rosa,,,,,,,,0,,,3,1,,,,,,,,,,,,507 Knights Cir,"Vallejo, CA  94591",,Almoraissi Jamal Ali,,0055-056-030,0055-056-030,,,100,,,,,,,,7695966,General Retail,,,3882,Freestanding,B9GB1A,,,,,2 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,0.77,2974.58,,,,,,,,,,,0,,,,4411,,,1930,,945904336,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,300 Tennessee St,,,,2013 Tax @ $1.95/sf,,Existing,2013 Tax @ $1.95/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.1602,,,38.1103545,,,,,,,-122.2578602,North Bay/Santa Rosa,,,,,,,,0,,,15,1,,,,,,,,,,,,442 Southport Way,"Vallejo, CA  94591",,Huynh Lamvi & Roberta T,,0056-042-180,0056-042-180,,,100,,,,,,,,5952409,General Retail,,,1493,Auto Repair,A2NZZA,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,1.95,2914.76,,,,,,,,,,,0,,,,1493,,,1930,,94590,
,,,,,,,,,,,,Withheld,,Withheld,-,-,-,-,-,,150 Mahogany Dr,,,,"2013 Tax @ $1.57/sf, 2011 Est Tax @ $1.46/sf; 2011 Est Ops @ $1.25/sf",,Existing,"2013 Tax @ $1.57/sf, 2011 Est Tax @ $1.46/sf; 2011 Est Ops @ $1.25/sf",,,Vallejo,,,,,Masonry,,Solano,,,,2400,,2400,,,,,,,,N,,,,0.75,,,38.1366366,150 Mahogany Dr,"Vallejo, CA  94589",Chris Dean,,Chris Dean,5107738542,-122.2536575,North Bay/Santa Rosa,,2400,2400,,,,,0,,,12,1,,,,,,,,,,,,150 Mahogany Dr,"Vallejo, CA  94589",,Conchita S Dieden,,0052-080-480,0052-080-480,5,,0,,Chris Dean,,,,,,7154436,General Retail,,,2400,Auto Repair,BL14NA,,,2400,,2 Star,CA,,0,,0,Solano County Ret,Vallejo Ret,2013,1.57,3757.46,,,,2400,,,2400,0,2400,0,2400,,,,889,,,1930,,94589,IE
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2209 Sonoma Blvd,,,,2013 Tax @ $0.77/sf,,Existing,2013 Tax @ $0.77/sf,,,Vallejo,,,,,Reinforced Concrete,,Solano,,,,,,,,,,,,,,N,,,,0.1111,,,38.106306,,,,,,,-122.255053,North Bay/Santa Rosa,,,,,,,,0,,,5,3,,,,,,,,,,,,10 Putnam St,"San Francisco, CA  94110",,Espina Eutemio F & C S,,0056-104-090,0056-104-090,,,100,,,,,,,,5982252,General Retail,,,5592,Storefront Retail/Residential,ALXEZA,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,0.77,4296.68,,,,,,,,,,,0,,,,1863,,,1932,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2710 Sonoma Blvd,,,,2013 Tax @ $1.20/sf,,Existing,2013 Tax @ $1.20/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.136,10/23/2003 12:00,"420,000.00",38.111366,,,,,,,-122.254424,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,2710 Sonoma Blvd,"Vallejo, CA  94590",,Hurtado Bonifacio T,,0056-045-200,0056-045-200,2.32,,100,,,,,,,,6004723,General Retail,,,4316,Freestanding,A1DV1A,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,1.2,5157.94,,,,,,,,,,,0,,,,4315,,,1932,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,736-740 Tennessee St,,,,2013 Tax @ $3.29/sf,,Existing,2013 Tax @ $3.29/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.0849,,,38.110063,,,,,,,-122.249973,North Bay/Santa Rosa,,,,,,,,0,,,10,1,,,,,,,,,,,,312 Amber Ave,"Vallejo, CA  945892316",,Kennedy J & Thuy T Nguyen,,0056-054-160,0056-054-160,9.46,,100,,,,,,,,5936685,General Retail,,,1057,Freestanding,ASJKYA,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,3.29,3472.46,,,,,,,,,,,0,,,,1056,,,1932,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,742-744 Tennessee St,,,,2013 Tax @ $1.08/sf,,Existing,2013 Tax @ $1.08/sf,,,Vallejo,,,,,,,Solano,,,,,,,,,,,,,,N,,,,0.0849,,,38.1101057,,,,,,,-122.2498449,North Bay/Santa Rosa,,,,,,,,0,,,8,1,,,,,,,,,,,,40 Ashbrook Pl,"Moraga, CA  94556",,Haffner Darlene Simon,,0056-054-150,0056-054-150,3.71,,100,,,,,,,,5936661,General Retail,,,2156,Freestanding,ASIZXA,,,,,1 Star,CA,,,,,Solano County Ret,Vallejo Ret,2013,1.08,2338.36,,,,,,,,,,,0,,,,2155,,,1932,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,349 Merchant St,,,,2013 Tax @ $1.12/sf,,Existing,2013 Tax @ $1.12/sf,,,Vacaville,,,,,Masonry,,Solano,,,,,,,,,,,,,,N,,,,0.1435,,,38.3557128,,,,,,,-121.9886604,North Bay/Santa Rosa,,,,,,,,0,,,30,1,,,,,,,,,,,,560 Main St,"Vacaville, CA  95688",,Tooke Robert B,,0130-185-150,0130-185-150,6.47,,100,,,,,,,,5579029,General Retail,,,4634,Restaurant,AGM2QA,,,,,2 Star,CA,,,,,Solano County Ret,Vacaville Ret,2013,1.12,5210.06,,,,,,,,,,,0,,,,4634,,,1934,,95688,
,,,,,,,,,,,,12,,-,12,12,-,-,-,,445-447 Georgia St,,,The Castagnoli Building,2014 Combined Tax/Ops @ $0.48/sf; 2012 Est Ops @ $0.72/sf,,Existing,2014 Combined Tax/Ops @ $0.48/sf; 2012 Est Ops @ $0.72/sf,,,Vallejo,,,,,Masonry,,Solano,,,,13000,Triple Net,13000,,,,,,,,N,,,,0.15,,,38.1008208,433 Soscol Ave Suite # A130,"Napa, CA  94559",Jesse Robichaud,7072262339,Strong & Hayden Commercial Real Estate,7072262661,-122.2552096,North Bay/Santa Rosa,,13000,6500,,,,,1,,,10,2,,,,,,,,,,,,939 Tennessee St,"Vallejo, CA  94590",Dennis Brinson,Brinson Properties,7077044101,0056-194-100,0056-194-100,,,50,,Jesse Robichaud,,,,,,926836,General Retail,,,26000,Storefront Retail/Office,6858,Direct - Triple Net,,6500,,2 Star,CA,,0,,0,Solano County Ret,Vallejo Ret,,,,,,,13000,,,13000,0,13000,0,13000,,,,6246,,,1934,,94590,C
